bin_center_elev_m,z1_bin_count_valid,z1_bin_area_valid_km2,dhdt_bin_count,dhdt_bin_mean_ma,dhdt_bin_std_ma,dhdt_bin_med_ma,dhdt_bin_mad_ma,mb_bin_mean_mwea,mb_bin_std_mwea,mb_bin_med_mwea,mb_bin_mad_mwea,dc_dhdt_bin_count,dc_dhdt_bin_mean_ma,dc_dhdt_bin_std_ma,dc_dhdt_bin_med_ma,dc_dhdt_bin_mad_ma,dc_mb_bin_mean_mwea,dc_mb_bin_std_mwea,dc_mb_bin_med_mwea,dc_mb_bin_mad_mwea,dc_bin_count_valid,dc_bin_area_valid_km2,ts_mean,ts_std,ts_med,ts_mad,dc_ts_mean,dc_ts_std,dc_ts_med,dc_ts_mad,vm_med,vm_mad,H_mean,H_std,emvel_mean,emvel_std,emvel_med,emvel_mad,hd_ts_mean_m,hd_ts_std_m,hd_ts_med_m,hd_ts_mad_m,mf_ts_mean,mf_ts_std,mf_ts_med,mf_ts_mad
2485.0,1024.0,10.24,1024.0,-0.004797742,0.98041534,-0.15205976,0.66813344,-0.004317984,0.8823738000000001,-0.13685378,0.60132015,,,,,,,,,,0.0,0.0,,,,,,,,,8.667983,10.656139,244.17856,186.92682,1.3280646,120.18463999999999,-0.050695002,4.610474,,,,,1.0,0.0,1.0,0.0
2495.0,911.0,9.11,911.0,0.013315948999999999,1.0039251,-0.15398502,0.6261081000000001,0.011984355,0.90353256,-0.13858652,0.56349725,,,,,,,,,,0.0,0.0,,,,,,,,,8.8573265,10.717877,238.7864,185.83742,8.481766,87.17551999999999,0.0029906295,3.765946,,,,,1.0,0.0,1.0,0.0
2505.0,981.0,9.81,981.0,-0.084004395,0.94117564,-0.18971825,0.62265325,-0.07560396,0.84705806,-0.17074643,0.5603878999999999,,,,,,,,,,0.0,0.0,,,,,,,,,8.163229,9.816033000000001,241.66463,194.14772,1.8468246,72.58264,-0.019809455,3.3471067000000003,,,,,1.0,0.0,1.0,0.0
2515.0,909.0,9.09,909.0,-0.15691447,0.8501976000000001,-0.22416341,0.56952006,-0.14122303,0.76517785,-0.20174707,0.51256806,,,,,,,,,,0.0,0.0,,,,,,,,,7.1426754,8.477246000000001,229.35299999999998,184.37596000000002,-0.7326904000000001,50.595196,-0.037656903,3.6485237999999995,,,,,1.0,0.0,1.0,0.0
2525.0,898.0,8.98,898.0,-0.16647531,0.75790954,-0.20446563,0.5331710999999999,-0.14982778,0.68211854,-0.18401906,0.47985402,1.0,-0.6460048,0.0,-0.6460048,0.0,-0.58140427,0.0,-0.58140427,0.0,1.0,0.01,24.892881,0.0,24.892881,0.0,24.892881,0.0,24.892881,0.0,7.027781,8.104744,231.41837,182.22954,1.0129620000000001,42.97007,-0.007333236700000001,3.4625392,0.49194792,0.0,0.49194792,0.0,0.3205965,0.0,0.3205965,0.0
2535.0,940.0,9.4,940.0,-0.14156711,0.9172083000000001,-0.21552157,0.5398271,-0.1274104,0.82548743,-0.19396941,0.48584437,,,,,,,,,,0.0,0.0,,,,,,,,,6.8030057,7.755912299999999,241.54172999999997,187.74103,-0.81482065,73.18937,-0.12976235,2.7859979,,,,,1.0,0.0,1.0,0.0
2545.0,965.0,9.65,965.0,-0.07636221,0.88673127,-0.16669947,0.51972497,-0.06872597,0.79805815,-0.15002953,0.46775246,,,,,,,,,,0.0,0.0,,,,,,,,,7.2352896,8.409394,251.6011,194.31767,-1.528827,67.33695,-0.104609415,3.322397,,,,,1.0,0.0,1.0,0.0
2555.0,896.0,8.96,896.0,-0.12510629,0.84508455,-0.20502105,0.56324273,-0.11259564,0.7605761,-0.18451896,0.50691843,,,,,,,,,,0.0,0.0,,,,,,,,,7.646980999999999,9.6178875,252.03312999999997,193.4569,3.2663224,99.91154,-0.08239099999999999,3.700132,,,,,1.0,0.0,1.0,0.0
2565.0,938.0,9.38,938.0,-0.09839902,0.94267994,-0.2113463,0.51543117,-0.08855911,0.8484119000000001,-0.19021168,0.46388805,,,,,,,,,,0.0,0.0,,,,,,,,,8.658572999999999,10.955115,262.97208,203.01831,-3.282113,112.88378999999999,-0.14815077,4.305912,,,,,1.0,0.0,1.0,0.0
2575.0,953.0,9.53,953.0,-0.122462876,0.8101484999999999,-0.17856770000000002,0.5383349000000001,-0.11021660000000001,0.7291335999999999,-0.16071092,0.48450148,,,,,,,,,,0.0,0.0,,,,,,,,,10.2698145,13.181614999999999,294.70105,208.23708,0.69715947,125.0825,-0.16239922,5.497099400000001,,,,,1.0,0.0,1.0,0.0
