pointid,deb thickness,Lat,Long,Easting,Northing,MF
810,0.240349,60.80217427,-138.5908114,28472.69361,6740866.429,0.602678
811,0.195356,60.8021671,-138.588974,28572.69361,6740866.429,0.715213
812,0.150488,60.80215991,-138.5871366,28672.69361,6740866.429,0.878862
813,0.149417,60.80215269,-138.5852991,28772.69361,6740866.429,0.883688
814,0.20372,60.80214544,-138.5834617,28872.69361,6740866.429,0.691219
815,0.231381,60.80213817,-138.5816243,28972.69361,6740866.429,0.62219
816,0.285778,60.80213088,-138.5797869,29072.69361,6740866.429,0.520057
817,0.232773,60.80212356,-138.5779495,29172.69361,6740866.429,0.61908
818,0.174301,60.80211621,-138.5761121,29272.69361,6740866.429,0.783693
819,0.187895,60.80210884,-138.5742747,29372.69361,6740866.429,0.738065
820,0.144416,60.80210145,-138.5724372,29472.69361,6740866.429,0.906945
821,3,60.80174253,-138.7286311,20972.69361,6740766.429,0.0565855
822,3,60.80173724,-138.7267937,21072.69361,6740766.429,0.0565855
823,3,60.80173193,-138.7249563,21172.69361,6740766.429,0.0565855
824,3,60.8017266,-138.7231188,21272.69361,6740766.429,0.0565855
825,3,60.80172124,-138.7212814,21372.69361,6740766.429,0.0565855
826,1.97145,60.80171585,-138.719444,21472.69361,6740766.429,0.0854402
827,1.5864201,60.80171044,-138.7176066,21572.69361,6740766.429,0.105597
828,0.939929,60.80170501,-138.7157691,21672.69361,6740766.429,0.174867
829,0.429692,60.80169955,-138.7139317,21772.69361,6740766.429,0.36259
830,0.193871,60.80169407,-138.7120943,21872.69361,6740766.429,0.719646
831,0.101496,60.80168856,-138.7102569,21972.69361,6740766.429,1.1715699
832,0.101352,60.80168302,-138.7084194,22072.69361,6740766.429,1.17272
833,0.107476,60.80167746,-138.706582,22172.69361,6740766.429,1.1258
834,0.0961776,60.80167187,-138.7047446,22272.69361,6740766.429,1.21552
835,0.0662015,60.80166626,-138.7029072,22372.69361,6740766.429,1.54141
836,0.0383403,60.80166063,-138.7010697,22472.69361,6740766.429,2.05301
837,0.0574531,60.80161464,-138.6863704,23272.69361,6740766.429,1.67226
838,0.157754,60.80160877,-138.684533,23372.69361,6740766.429,0.847459
839,0.238896,60.80160289,-138.6826956,23472.69361,6740766.429,0.605755
840,0.71445,60.80159698,-138.6808582,23572.69361,6740766.429,0.226743
841,0.454893,60.80149896,-138.6514597,25172.69361,6740766.429,0.344332
842,0.253034,60.80149262,-138.6496223,25272.69361,6740766.429,0.577078
843,0.0866619,60.80148626,-138.6477849,25372.69361,6740766.429,1.3029701
844,0.0892037,60.80147987,-138.6459475,25472.69361,6740766.429,1.2783999
845,0.0807275,60.80147345,-138.6441101,25572.69361,6740766.429,1.36417
846,0.0613837,60.80146701,-138.6422727,25672.69361,6740766.429,1.6108201
